Cluster,Course Title,Keyword,Level,Rating,Number of Review,Course Url
0,Keamanan IT: Pertahanan terhadap Kejahatan Digital,Information Technology,Beginner level,5.0,1148,https://www.coursera.org/learn/keamanan-it-pertahanan-terhadap-kejahatan-digital
0,Compreendendo o Zika e doenças emergentes,Health,Intermediate level,5.0,243,https://www.coursera.org/learn/zika-e-doencas-emergentes
0,Uncommon Sense Teaching Specialization,Social Sciences,Beginner level,5.0,164,https://www.coursera.org/specializations/uncommon-sense-teaching-certificate
0,Exploring Beethoven’s Piano Sonatas Part 2,Arts and Humanities,Beginner level,5.0,161,https://www.coursera.org/learn/exploring-beethoven-piano-sonatas-2
0,Exploring Beethoven’s Piano Sonatas Part 2,Personal Development,Beginner level,5.0,161,https://www.coursera.org/learn/exploring-beethoven-piano-sonatas-2
0,Medical Terminology II,Health,Beginner level,5.0,90,https://www.coursera.org/learn/medicalterminology-2
0,Diseño de Actividades con PhET para la Educación STEM,Social Sciences,Intermediate level,5.0,71,https://www.coursera.org/learn/diseno-de-actividades-con-phet-para-la-educacin-stem
0,Escola 4.0 Educação e Cultura Maker no Contexto da Nova BNCC,Social Sciences,Beginner level,5.0,48,https://www.coursera.org/learn/escola4pontozero
0,莊子─人情 (Zhuangzi─Between People),Arts and Humanities,Beginner level,5.0,45,https://www.coursera.org/learn/zhuangzi2
0,Exploring Beethoven's Piano Sonatas Part 5,Arts and Humanities,Intermediate level,5.0,45,https://www.coursera.org/learn/exploring-beethoven-piano-sonatas-5
1,Distribución digital de la música independiente,Arts and Humanities,Beginner level,0.0,0,https://www.coursera.org/learn/distribucion-digital-de-la-musica-independiente
1,Становлення сучасної України,Arts and Humanities,Beginner level,0.0,0,https://www.coursera.org/learn/the-making-of-modern-ukraine-ua
1,Cultura Maya en Yucatán,Arts and Humanities,Beginner level,0.0,0,https://www.coursera.org/learn/cultura-maya-en-yucatan
1,"Herencia negra, aplicación de ritmos afroperuanos",Arts and Humanities,Beginner level,0.0,0,https://www.coursera.org/learn/aplicacion-ritmos-afroperuanos
1,Storytelling y medios digitales,Arts and Humanities,Beginner level,0.0,0,https://www.coursera.org/learn/storytelling-y-medios-digitales
1,Overcoming  Challenges in Self and Society,Arts and Humanities,Beginner level,0.0,0,https://www.coursera.org/learn/overcoming-challenges-in-self-and-society
1,Piano Techniques for Modern Music,Arts and Humanities,Beginner level,0.0,0,https://www.coursera.org/learn/piano-techniques-for-modern-music
1,"El águila, el nopal y ¿la serpiente?",Arts and Humanities,Beginner level,0.0,0,https://www.coursera.org/learn/aguila-serpiente
1,Libertarian Free Will Specialization,Arts and Humanities,Beginner level,0.0,0,https://www.coursera.org/specializations/libertarian-free-will
1,Producción musical con software libre Specialization,Arts and Humanities,Beginner level,0.0,0,https://www.coursera.org/specializations/prodmusical
2,Manajemen Proyek Google Professional Certificate,Business,Beginner level,5.0,369,https://www.coursera.org/professional-certificates/manajemen-proyek-google
2,Certified Business Analysis Professional™ (CBAP®) Specialization,Business,Intermediate level,5.0,12,https://www.coursera.org/specializations/certified-business-analysis-professional-cbap
2,Google IT 지원 수료증 이수 과정 Professional Certificate,Information Technology,Beginner level,5.0,12,https://www.coursera.org/professional-certificates/google-it-support-korean
2,Keller Williams Real Estate Agent Professional Certificate,Business,Beginner level,5.0,8,https://www.coursera.org/professional-certificates/keller-williams-real-estate-agent
2,Principles of Leadership: Leading Technical Teams Specialization,Personal Development,Beginner level,5.0,7,https://www.coursera.org/specializations/principles-of-leadership-leading-technical-teams
2,Global Health Challenges and Governance Specialization,Health,Beginner level,5.0,6,https://www.coursera.org/specializations/global-health-challenges-governance
2,Deep Learning Specialization,Computer Science,Intermediate level,4.9,132611,https://www.coursera.org/specializations/deep-learning
2,Deep Learning Specialization,DataScience,Intermediate level,4.9,132611,https://www.coursera.org/specializations/deep-learning
2,Deep Learning Specialization,Math and Logic,Intermediate level,4.9,132611,https://www.coursera.org/specializations/deep-learning
2,Neural Networks and Deep Learning,Computer Science,Intermediate level,4.9,120548,https://www.coursera.org/learn/neural-networks-deep-learning
3,Introduction to Systems Engineering Specialization,Business,Beginner level,5.0,25,https://www.coursera.org/specializations/introduction-systems-engineering
3,Cyber Security – Technology and Governance Specialization,Computer Science,Beginner level,5.0,17,https://www.coursera.org/specializations/cyber-security-technology-governance
3,Cyber Security – Technology and Governance Specialization,Information Technology,Beginner level,5.0,17,https://www.coursera.org/specializations/cyber-security-technology-governance
3,Ready to Roll – The Video Production Process,Personal Development,Beginner level,5.0,11,https://www.coursera.org/learn/ready-to-roll-the-video-production-process
3,Tecnologías para la Innovación Educativa,Social Sciences,Beginner level,5.0,10,https://www.coursera.org/learn/tecnologas-para-la-innovacin-educativa
3,Data Analytics in Sports Law and Management Specialization,Business,Beginner level,5.0,9,https://www.coursera.org/specializations/data-analytics-in-sports-law-and-team-management
3,C Programming for Everybody Specialization,Computer Science,Intermediate level,5.0,5,https://www.coursera.org/specializations/c-programming-for-everybody
3,Compromiso del paciente: resultados clínicos satisfactorios Specialization,Health,Beginner level,5.0,5,https://www.coursera.org/specializations/compromiso-paciente
3,Excel Skills for Business: Essentials,Business,Beginner level,4.9,47894,https://www.coursera.org/learn/excel-essentials
3,Convolutional Neural Networks,Computer Science,Intermediate level,4.9,41949,https://www.coursera.org/learn/convolutional-neural-networks
